id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1333870600016834560	1333870600016834560	2020-12-01 15:28:27 -05	2020-12-01	15:28:27	-0500	1191368024500195328	excelsior861	Excelsior681		dice Diosdado cabello que el que no salga a votar el 6 de diciembre no come, se le aplicara una cuarentena. Porque esta interesado en que la gente salga a votar, la repuesta es fácil para legitimar el fraude electoral que tiene pensado  https://t.co/m5FvdGjD8e	es	[]	[]	['https://pbs.twimg.com/media/EoLb5AeXEAEYws_.jpg']	0	0	1	[]	[]	https://twitter.com/EXCELSIOR861/status/1333870600016834560	False		1	https://pbs.twimg.com/media/EoLb5AeXEAEYws_.jpg	Nicaragua,Managua						[]				
1333854092901445632	1333854090997215232	2020-12-01 14:22:52 -05	2020-12-01	14:22:52	-0500	826467588339355648	toromboljughead	archieandrews2020		2️⃣“El que no vota, no come. Para el que no vote, no hay comida. El que no vote, no come, se le aplica una cuarentena ahí sin comer”, expresó Cabello durante un acto de campaña este lunes. #AsiComoSuena #CorpoTv	es	[]	[]	[]	0	0	0	['asicomosuena', 'corpotv']	[]	https://twitter.com/torombolJUGHEAD/status/1333854092901445632	False		0		Nicaragua,Managua						[]				
1333466021735370755	1333466021735370755	2020-11-30 12:40:48 -05	2020-11-30	12:40:48	-0500	425092108	nicanws	Nica Noticias		#RTA Venezuela levanta el toque de queda en municipios fronterizos con Colombia y Brasil en medio de la flexibilización de la cuarentena. Estas medidas, que buscan reactivar las actividades comerciales y económicas en el país, se tomaron a menos...  https://t.co/dgkiPHvV1B  https://t.co/uwtQaUILeS	es	[]	['https://tinyurl.com/y6gmwhtu']	['https://pbs.twimg.com/media/EoFsR-bWEAAiLeZ.jpg']	0	0	0	['rta']	[]	https://twitter.com/NicaNws/status/1333466021735370755	False		1	https://pbs.twimg.com/media/EoFsR-bWEAAiLeZ.jpg	Nicaragua,Managua						[]				
1333069549009309697	1333062393845477376	2020-11-29 10:25:22 -05	2020-11-29	10:25:22	-0500	156818859	betoaleman	Beto Alemán		@frankisame Yo tenía desde que inicio la cuarentena de no tapinear heavy, hasta ayer	es	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BetoAleman/status/1333069549009309697	False		0		Nicaragua,Managua						[{'screen_name': 'frankisame', 'name': 'frank', 'id': '251177410'}]				
1332700778939748355	1332700778939748355	2020-11-28 10:00:00 -05	2020-11-28	10:00:00	-0500	2372259746	oxfamnica	Oxfam en Nicaragua		La lucha por los derechos de la comunidad LGBTQI🏳️🌈cambió de forma (más no de fondo) durante la cuarentena.  ¿Querés saber por qué? Seguí la historia de Denilson👉🏾 https://t.co/vf5cLe8wQn  #Cuarentenials #16DiasDeActivismo  #25N  #DigamosBasta  https://t.co/usvjJaSKvc	es	[]	['https://latfem.org/cuarentenials/']	['https://pbs.twimg.com/media/En3zMFXWEAQng7v.jpg']	0	0	3	['cuarentenials', '16diasdeactivismo', '25n', 'digamosbasta']	[]	https://twitter.com/oxfamnica/status/1332700778939748355	False		1	https://pbs.twimg.com/media/En3zMFXWEAQng7v.jpg	Nicaragua,Managua						[]				
1332287547293184000	1332287547293184000	2020-11-27 06:37:58 -05	2020-11-27	06:37:58	-0500	197529424	chepo04ab	𝒞 𝒽 𝑒 𝓅 𝑜 𝒩 𝒶 𝑔 𝓇 𝒶 𝓃 𝒹 𝒶 𝓃 𝑜		INSÓLITO el polo extremo de #Ortega , locuras de dictaduras. Infobae America: #KimJongUn ordenó ejecutar a dos personas, prohibió la pesca y puso a Pyongyang en cuarentena total por el #coronavirus.  https://t.co/H6a2iWQwrO  a través de @GoogleNews	es	[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]	['https://www.infobae.com/america/mundo/2020/11/27/kim-jong-un-ordeno-ejecutar-a-dos-personas-prohibio-la-pesca-y-puso-a-pyongyang-en-cuarentena-por-el-coronavirus/']	[]	0	0	0	['ortega', 'kimjongun', 'coronavirus']	[]	https://twitter.com/Chepo04AB/status/1332287547293184000	False		0		Nicaragua,Managua						[]				
1332165150523142145	1332165150523142145	2020-11-26 22:31:36 -05	2020-11-26	22:31:36	-0500	755178194513358848	caro_londo	Carolina.		Yo siempre me he de sentido insegura en la calle pero les juro que después de cuarentena me da como mera ansiedad pensar en tengo que caminar por la calle o esperar el bus cerquita de un hombre sobre todo. Sólo me siento segura en mi casita, qué horror, gas.	es	[]	[]	[]	0	1	16	[]	[]	https://twitter.com/caro_londo/status/1332165150523142145	False		0		Nicaragua,Managua						[]				
1331937132479467520	1331936610783547392	2020-11-26 07:25:33 -05	2020-11-26	07:25:33	-0500	1205360956328611840	porritocomunis1	Porrito		Realmente la cuarentena me salvo más o menos con esto ni me imagino llevar una vida normal con esa wea ahora no me voy a desmayar solo wohooo	es	[]	[]	[]	0	0	2	[]	[]	https://twitter.com/PorritoComunis1/status/1331937132479467520	False		0		Nicaragua,Managua						[]				
1331643133386436608	1331643133386436608	2020-11-25 11:57:18 -05	2020-11-25	11:57:18	-0500	2544217908	radio580nic	Radio 580 Nicaragua		Un brote de #Covid-19 en un vuelo de 18 horas de #Dubái a #NuevaZelanda se da tras que un viajero con prueba de PCR negativa contagiara a varios pasajeros, reportan autoridades neozelandés. Otros 4 que viajaron con mascarillas y guantes dan positivo en las 2 semanas de cuarentena  https://t.co/4IXbI8jaIU	es	[]	[]	['https://pbs.twimg.com/media/EnryX1tWEAEGDmF.jpg']	0	0	0	['covid', 'dubái', 'nuevazelanda']	[]	https://twitter.com/radio580nic/status/1331643133386436608	False		1	https://pbs.twimg.com/media/EnryX1tWEAEGDmF.jpg	Nicaragua,Managua						[]				
1293318219747471361	1293318219747471361	2020-08-11 17:47:46 -05	2020-08-11	17:47:46	-0500	3047430411	jeya2309	🍉	{'type': 'Point', 'coordinates': [12.03932056, -86.0559082]}	☁️Solo escucha y respira 3 veces 🌬 . Just listen and breathe 3 times  . . #vlogs #podcast #clouds #jeya2309 #terapia #sky #Universo #calma #cuarentena #saludmentalyemocional en Nicaragua - Central America  https://t.co/YswbiMOrml	es	[]	['https://www.instagram.com/p/CDxC0fpJfW0/?igshid=1pcgdzhq3pajg']	[]	0	0	0	['vlogs', 'podcast', 'clouds', 'jeya2309', 'terapia', 'sky', 'universo', 'calma', 'cuarentena', 'saludmentalyemocional']	[]	https://twitter.com/Jeya2309/status/1293318219747471361	False		0		Nicaragua,Managua						[]				
1268323568032481282	1268323568032481282	2020-06-03 18:27:57 -05	2020-06-03	18:27:57	-0500	125559694	elgueguensenica	The Ribs El Gueguense Fusión	{'type': 'Point', 'coordinates': [12.12529166, -86.26160059]}	Recuerda #quedateencasa #cuarentena Activada con Súper Promos Activadas para que sigas disfrutando de las delicias de nuestra #Parrilla con todas nuestras #ParrilladasMixtas que traen 100% Bebidas GRATIS…  https://t.co/G6yvjldqCn	es	[]	['https://www.instagram.com/p/CA_coBEjiid/?igshid=1pd1ox5u9zd2d']	[]	0	0	0	['quedateencasa', 'cuarentena', 'parrilla', 'parrilladasmixtas']	[]	https://twitter.com/elgueguensenica/status/1268323568032481282	False		0		Nicaragua,Managua						[]				
